ID,Heating SP,Cooling SP,Blind 1,Blind 2,Window 1,Window 2
0,17,18,0,0,0,0
1,17,19,0,0,0,0
2,17,20,0,0,0,0
3,17,21,0,0,0,0
4,17,22,0,0,0,0
5,17,23,0,0,0,0
6,17,24,0,0,0,0
7,17,25,0,0,0,0
8,17,26,0,0,0,0
9,17,27,0,0,0,0
10,17,28,0,0,0,0
11,18,19,0,0,0,0
12,18,20,0,0,0,0
13,18,21,0,0,0,0
14,18,22,0,0,0,0
15,18,23,0,0,0,0
16,18,24,0,0,0,0
17,18,25,0,0,0,0
18,18,26,0,0,0,0
19,18,27,0,0,0,0
20,18,28,0,0,0,0
21,19,20,0,0,0,0
22,19,21,0,0,0,0
23,19,22,0,0,0,0
24,19,23,0,0,0,0
25,19,24,0,0,0,0
26,19,25,0,0,0,0
27,19,26,0,0,0,0
28,19,27,0,0,0,0
29,19,28,0,0,0,0
30,20,21,0,0,0,0
31,20,22,0,0,0,0
32,20,23,0,0,0,0
33,20,24,0,0,0,0
34,20,25,0,0,0,0
35,20,26,0,0,0,0
36,20,27,0,0,0,0
37,20,28,0,0,0,0
38,21,22,0,0,0,0
39,21,23,0,0,0,0
40,21,24,0,0,0,0
41,21,25,0,0,0,0
42,21,26,0,0,0,0
43,21,27,0,0,0,0
44,21,28,0,0,0,0
45,22,23,0,0,0,0
46,22,24,0,0,0,0
47,22,25,0,0,0,0
48,22,26,0,0,0,0
49,22,27,0,0,0,0
50,22,28,0,0,0,0
51,23,24,0,0,0,0
52,23,25,0,0,0,0
53,23,26,0,0,0,0
54,23,27,0,0,0,0
55,23,28,0,0,0,0
56,24,25,0,0,0,0
57,24,26,0,0,0,0
58,24,27,0,0,0,0
59,24,28,0,0,0,0
60,25,26,0,0,0,0
61,25,27,0,0,0,0
62,25,28,0,0,0,0
63,26,27,0,0,0,0
64,26,28,0,0,0,0
65,27,28,0,0,0,0
66,17,18,0,0,0,1
67,17,19,0,0,0,1
68,17,20,0,0,0,1
69,17,21,0,0,0,1
70,17,22,0,0,0,1
71,17,23,0,0,0,1
72,17,24,0,0,0,1
73,17,25,0,0,0,1
74,17,26,0,0,0,1
75,17,27,0,0,0,1
76,17,28,0,0,0,1
77,18,19,0,0,0,1
78,18,20,0,0,0,1
79,18,21,0,0,0,1
80,18,22,0,0,0,1
81,18,23,0,0,0,1
82,18,24,0,0,0,1
83,18,25,0,0,0,1
84,18,26,0,0,0,1
85,18,27,0,0,0,1
86,18,28,0,0,0,1
87,19,20,0,0,0,1
88,19,21,0,0,0,1
89,19,22,0,0,0,1
90,19,23,0,0,0,1
91,19,24,0,0,0,1
92,19,25,0,0,0,1
93,19,26,0,0,0,1
94,19,27,0,0,0,1
95,19,28,0,0,0,1
96,20,21,0,0,0,1
97,20,22,0,0,0,1
98,20,23,0,0,0,1
99,20,24,0,0,0,1
100,20,25,0,0,0,1
101,20,26,0,0,0,1
102,20,27,0,0,0,1
103,20,28,0,0,0,1
104,21,22,0,0,0,1
105,21,23,0,0,0,1
106,21,24,0,0,0,1
107,21,25,0,0,0,1
108,21,26,0,0,0,1
109,21,27,0,0,0,1
110,21,28,0,0,0,1
111,22,23,0,0,0,1
112,22,24,0,0,0,1
113,22,25,0,0,0,1
114,22,26,0,0,0,1
115,22,27,0,0,0,1
116,22,28,0,0,0,1
117,23,24,0,0,0,1
118,23,25,0,0,0,1
119,23,26,0,0,0,1
120,23,27,0,0,0,1
121,23,28,0,0,0,1
122,24,25,0,0,0,1
123,24,26,0,0,0,1
124,24,27,0,0,0,1
125,24,28,0,0,0,1
126,25,26,0,0,0,1
127,25,27,0,0,0,1
128,25,28,0,0,0,1
129,26,27,0,0,0,1
130,26,28,0,0,0,1
131,27,28,0,0,0,1
132,17,18,0,0,1,0
133,17,19,0,0,1,0
134,17,20,0,0,1,0
135,17,21,0,0,1,0
136,17,22,0,0,1,0
137,17,23,0,0,1,0
138,17,24,0,0,1,0
139,17,25,0,0,1,0
140,17,26,0,0,1,0
141,17,27,0,0,1,0
142,17,28,0,0,1,0
143,18,19,0,0,1,0
144,18,20,0,0,1,0
145,18,21,0,0,1,0
146,18,22,0,0,1,0
147,18,23,0,0,1,0
148,18,24,0,0,1,0
149,18,25,0,0,1,0
150,18,26,0,0,1,0
151,18,27,0,0,1,0
152,18,28,0,0,1,0
153,19,20,0,0,1,0
154,19,21,0,0,1,0
155,19,22,0,0,1,0
156,19,23,0,0,1,0
157,19,24,0,0,1,0
158,19,25,0,0,1,0
159,19,26,0,0,1,0
160,19,27,0,0,1,0
161,19,28,0,0,1,0
162,20,21,0,0,1,0
163,20,22,0,0,1,0
164,20,23,0,0,1,0
165,20,24,0,0,1,0
166,20,25,0,0,1,0
167,20,26,0,0,1,0
168,20,27,0,0,1,0
169,20,28,0,0,1,0
170,21,22,0,0,1,0
171,21,23,0,0,1,0
172,21,24,0,0,1,0
173,21,25,0,0,1,0
174,21,26,0,0,1,0
