lighting_interior,lighting_exterior,lighting_garage,cooking_range,dishwasher,clothes_washer,clothes_dryer,plug_loads_other,hot_water_dishwasher,hot_water_clothes_washer,hot_water_fixtures
0.0494,0.559,0.559,0.0,0.0,0.0,0.0,0.465,0.0,0.0,0.0
0.0494,0.559,0.559,0.0,0.0,0.0,0.0,0.465,0.0,0.0,0.0
0.0679,0.559,0.559,0.0,0.0,0.0,0.0,0.513,0.0,0.0,0.0
0.0679,0.559,0.559,0.0,0.0,0.0,0.0,0.513,0.0,0.0,0.0
0.0679,0.559,0.559,0.0,0.0,0.0,0.0,0.513,0.0,0.0,0.0
0.0679,0.559,0.559,0.0,0.0,0.0,0.0,0.513,0.0,0.0,0.0
0.0556,0.517,0.517,0.0,0.0,0.0,0.0,0.504,0.0,0.0,0.0
0.0556,0.517,0.517,0.0,0.0,0.0,0.0,0.504,0.0,0.0,0.0
0.0494,0.517,0.517,0.0,0.0,0.0,0.0,0.465,0.0,0.0,0.0
0.0494,0.517,0.517,0.0,0.0,0.0,0.0,0.465,0.0,0.0,0.27
0.0494,0.517,0.517,0.0,0.0,0.0,0.0,0.465,0.0,0.0,0.18
0.0494,0.517,0.517,0.0,0.0,0.0,0.0,0.465,0.0,0.0,0.0
0.0494,0.517,0.517,0.0,0.0,0.0,0.0,0.465,0.0,0.0,0.0
0.0494,0.517,0.517,0.0,0.0,0.0,0.0,0.465,0.0,0.0,0.0
0.0494,0.517,0.517,0.0,0.0,0.0,0.0,0.465,0.0,0.0,0.0
0.0494,0.517,0.517,0.0,0.0,0.0,0.0,0.465,0.0,0.0,0.0
0.0494,0.517,0.517,0.0,0.0,0.0,0.0,0.465,0.0,0.0,0.0
0.0494,0.517,0.517,0.0,0.0,0.0,0.0,0.465,0.0,0.0,0.0
0.0494,0.503,0.503,0.0,0.0,0.0,0.0,0.465,0.0,0.0,0.0
0.0494,0.503,0.503,0.0,0.0,0.0,0.0,0.465,0.0,0.0,0.0
0.0494,0.503,0.503,0.0,0.0,0.0,0.0,0.465,0.0,0.0,0.0
0.0494,0.503,0.503,0.0,0.0,0.0,0.0,0.465,0.0,0.0,0.0
0.0494,0.503,0.503,0.0,0.0,0.0,0.0,0.465,0.0,0.0,0.0
0.0494,0.503,0.503,0.0,0.0,0.0,0.0,0.465,0.0,0.0,0.0
0.0494,0.461,0.461,0.0,0.0,0.0,0.0,0.465,0.0,0.0,0.0
0.0494,0.461,0.461,0.0,0.0,0.0,0.0,0.465,0.0,0.0,0.0
0.0494,0.461,0.461,0.0,0.0,0.0,0.0,0.465,0.0,0.0,0.0
0.0494,0.461,0.461,0.8,0.0,0.0,0.0,0.465,0.0,0.0,0.0
0.0494,0.461,0.461,0.7,0.0,0.0,0.0,0.465,0.0,0.0,0.0
0.0494,0.461,0.461,0.0,0.0,0.0,0.0,0.465,0.0,0.0,0.0
0.0747,0.503,0.503,0.0,0.0,0.0,0.0,0.504,0.0,0.0,0.0
0.0747,0.503,0.503,0.0,0.0,0.0,0.0,0.504,0.0,0.0,0.0
0.0747,0.503,0.503,0.0,0.0,0.0,0.0,0.504,0.0,0.0,0.0
0.0747,0.503,0.503,0.0,0.0,0.0,0.0,0.504,0.0,0.0,0.0
0.0747,0.503,0.503,0.0,0.0,0.0,0.0,0.504,0.0,0.0,0.0
0.0747,0.503,0.503,0.0,0.0,0.0,0.0,0.504,0.0,0.0,0.0
0.202,0.601,0.601,0.0,0.0,0.0,0.0,0.579,0.0,0.0,0.0
0.202,0.601,0.601,0.0,0.0,0.0,0.0,0.579,0.0,0.0,0.217
0.202,0.601,0.601,0.0,0.0,0.0,0.0,0.579,0.0,0.0,0.0965
0.202,0.601,0.601,0.0,0.0,0.0,0.0,0.579,0.0,0.0,0.0
0.202,0.601,0.601,0.0,0.0,0.0,0.0,0.579,0.0,0.0,0.0
0.202,0.601,0.601,0.0,0.0,0.0,0.0,0.579,0.0,0.0,0.0
0.249,0.657,0.657,0.0,0.0,0.0,0.0,0.626,0.0,0.0,0.0
0.249,0.657,0.657,0.0,0.0,0.0,0.0,0.626,0.0,0.0,0.0
0.249,0.657,0.657,0.0,0.0,0.0,0.0,0.626,0.0,0.0,0.0
0.249,0.657,0.657,0.0,0.0,0.0,0.0,0.626,0.0,0.0,0.0
0.249,0.657,0.657,0.0,0.0,0.0,0.0,0.626,0.0,0.0,0.0
0.249,0.657,0.657,0.0,0.0,0.0,0.0,0.626,0.0,0.0,0.0
0.156,0.475,0.475,0.0,0.0,0.0,0.0,0.55,0.0,0.0,0.0
0.156,0.475,0.475,0.0,0.0,0.0,0.0,0.55,0.0,0.0,0.0
0.156,0.475,0.475,0.0,0.0,0.0,0.0,0.55,0.0,0.0,0.0
0.156,0.475,0.475,0.0,0.0,0.0,0.0,0.55,0.0,0.0,0.0
0.156,0.475,0.475,0.0,0.0,0.0,0.0,0.55,0.0,0.0,0.18
0.156,0.475,0.475,0.0,0.0,0.0,0.0,0.55,0.0,0.0,0.27
0.159,0.322,0.322,0.0,0.0,0.0,0.0,0.55,0.0,0.0,0.09
0.159,0.322,0.322,0.0,0.0,0.0,0.0,0.55,0.0,0.0,0.09
0.159,0.322,0.322,0.0,0.0,0.0,0.0,0.55,0.0,0.0,0.0
0.159,0.322,0.322,0.0,0.0,0.0,0.0,0.55,0.0,0.0,0.09
0.159,0.322,0.322,0.0,0.0,0.0,0.0,0.55,0.0,0.0,0.09
0.159,0.322,0.322,0.0,0.0,0.0,0.0,0.55,0.0,0.0,0.0
0.156,0.336,0.336,0.0,0.0,0.0,0.0,0.55,0.0,0.0,0.0
0.156,0.336,0.336,0.0,0.0,0.0,0.0,0.55,0.0,0.0,0.0
0.156,0.336,0.336,0.0,0.0,0.0,0.0,0.55,0.0,0.0,0.0
0.156,0.336,0.336,0.0,0.0,0.0,0.0,0.55,0.0,0.0,0.09
0.156,0.336,0.336,0.0,0.0,0.0,0.0,0.55,0.0,0.0,0.0
0.156,0.336,0.336,0.0,0.0,0.0,0.0,0.55,0.0,0.0,0.0
0.253,0.35,0.35,0.0,0.0,0.0,0.0,0.645,0.0,0.0,0.09
0.253,0.35,0.35,0.0,0.0,0.0,0.0,0.645,0.0,0.0,0.0
0.253,0.35,0.35,0.0,0.0,0.0,0.0,0.645,0.0,0.0,0.0
0.151,0.35,0.35,0.0,0.0,0.0,0.0,0.555,0.0,0.0,0.0
0.151,0.35,0.35,0.0,0.0,0.0,0.0,0.555,0.0,0.0,0.0
0.151,0.35,0.35,0.0,0.0,0.0,0.0,0.555,0.0,0.0,0.0
