lighting_interior,lighting_exterior,lighting_garage,cooking_range,dishwasher,clothes_washer,clothes_dryer,plug_loads_other,hot_water_dishwasher,hot_water_clothes_washer,hot_water_fixtures
0.0493,0.559,0.559,0.0,0.0,0.0,0.0,0.465,0.0,0.0,0.0
0.0493,0.559,0.559,0.0,0.0,0.0,0.0,0.465,0.0,0.0,0.0
0.0678,0.559,0.559,0.0,0.0,0.0,0.0,0.513,0.0,0.0,0.0
0.0678,0.559,0.559,0.0,0.0,0.0,0.0,0.513,0.0,0.0,0.0
0.0678,0.559,0.559,0.0,0.0,0.0,0.0,0.513,0.0,0.0,0.0
0.0678,0.559,0.559,0.0,0.0,0.0,0.0,0.513,0.0,0.0,0.0
0.0555,0.517,0.517,0.0,0.0,0.0,0.0,0.504,0.0,0.0,0.0
0.0555,0.517,0.517,0.0,0.0,0.0,0.0,0.504,0.0,0.0,0.0
0.0493,0.517,0.517,0.0,0.0,0.0,0.0,0.465,0.0,0.0,0.0
0.0493,0.517,0.517,0.0,0.0,0.0,0.0,0.465,0.0,0.0,0.236
0.0493,0.517,0.517,0.0,0.0,0.0,0.0,0.465,0.0,0.0,0.158
0.0493,0.517,0.517,0.0,0.0,0.0,0.0,0.465,0.0,0.0,0.0
0.0493,0.517,0.517,0.0,0.0,0.0,0.0,0.465,0.0,0.0,0.0
0.0493,0.517,0.517,0.0,0.0,0.0,0.0,0.465,0.0,0.0,0.0
0.0493,0.517,0.517,0.0,0.0,0.0,0.0,0.465,0.0,0.0,0.0
0.0493,0.517,0.517,0.0,0.0,0.0,0.0,0.465,0.0,0.0,0.0
0.0493,0.517,0.517,0.0,0.0,0.0,0.0,0.465,0.0,0.0,0.0
0.0493,0.517,0.517,0.0,0.0,0.0,0.0,0.465,0.0,0.0,0.0
0.0493,0.503,0.503,0.0,0.0,0.0,0.0,0.465,0.0,0.0,0.0
0.0493,0.503,0.503,0.0,0.0,0.0,0.0,0.465,0.0,0.0,0.0
0.0493,0.503,0.503,0.0,0.0,0.0,0.0,0.465,0.0,0.0,0.0
0.0493,0.503,0.503,0.0,0.0,0.0,0.0,0.465,0.0,0.0,0.0
0.0493,0.503,0.503,0.0,0.0,0.0,0.0,0.465,0.0,0.0,0.0
0.0493,0.503,0.503,0.0,0.0,0.0,0.0,0.465,0.0,0.0,0.0
0.0493,0.461,0.461,0.0,0.0,0.0,0.0,0.465,0.0,0.0,0.0
0.0493,0.461,0.461,0.0,0.0,0.0,0.0,0.465,0.0,0.0,0.0
0.0493,0.461,0.461,0.0,0.0,0.0,0.0,0.465,0.0,0.0,0.0
0.0493,0.461,0.461,0.8,0.0,0.0,0.0,0.465,0.0,0.0,0.0
0.0493,0.461,0.461,0.7,0.0,0.0,0.0,0.465,0.0,0.0,0.0
0.0493,0.461,0.461,0.0,0.0,0.0,0.0,0.465,0.0,0.0,0.0
0.0746,0.503,0.503,0.0,0.0,0.0,0.0,0.504,0.0,0.0,0.0
0.0746,0.503,0.503,0.0,0.0,0.0,0.0,0.504,0.0,0.0,0.0
0.0746,0.503,0.503,0.0,0.0,0.0,0.0,0.504,0.0,0.0,0.0
0.0746,0.503,0.503,0.0,0.0,0.0,0.0,0.504,0.0,0.0,0.0
0.0746,0.503,0.503,0.0,0.0,0.0,0.0,0.504,0.0,0.0,0.0
0.0746,0.503,0.503,0.0,0.0,0.0,0.0,0.504,0.0,0.0,0.0
0.201,0.601,0.601,0.0,0.0,0.0,0.0,0.579,0.0,0.0,0.0
0.201,0.601,0.601,0.0,0.0,0.0,0.0,0.579,0.0,0.0,0.214
0.201,0.601,0.601,0.0,0.0,0.0,0.0,0.579,0.0,0.0,0.0953
0.201,0.601,0.601,0.0,0.0,0.0,0.0,0.579,0.0,0.0,0.0
0.201,0.601,0.601,0.0,0.0,0.0,0.0,0.579,0.0,0.0,0.0
0.201,0.601,0.601,0.0,0.0,0.0,0.0,0.579,0.0,0.0,0.0
0.248,0.657,0.657,0.0,0.0,0.0,0.0,0.626,0.0,0.0,0.0
0.248,0.657,0.657,0.0,0.0,0.0,0.0,0.626,0.0,0.0,0.0
0.248,0.657,0.657,0.0,0.0,0.0,0.0,0.626,0.0,0.0,0.0
0.248,0.657,0.657,0.0,0.0,0.0,0.0,0.626,0.0,0.0,0.0
0.248,0.657,0.657,0.0,0.0,0.0,0.0,0.626,0.0,0.0,0.0
0.248,0.657,0.657,0.0,0.0,0.0,0.0,0.626,0.0,0.0,0.0
0.156,0.475,0.475,0.0,0.0,0.0,0.0,0.55,0.0,0.0,0.0
0.156,0.475,0.475,0.0,0.0,0.0,0.0,0.55,0.0,0.0,0.0
0.156,0.475,0.475,0.0,0.0,0.0,0.0,0.55,0.0,0.0,0.0
0.156,0.475,0.475,0.0,0.0,0.0,0.0,0.55,0.0,0.0,0.0
0.156,0.475,0.475,0.0,0.0,0.0,0.0,0.55,0.0,0.0,0.158
0.156,0.475,0.475,0.0,0.0,0.0,0.0,0.55,0.0,0.0,0.236
0.159,0.322,0.322,0.0,0.0,0.0,0.0,0.55,0.0,0.0,0.0788
0.159,0.322,0.322,0.0,0.0,0.0,0.0,0.55,0.0,0.0,0.0788
0.159,0.322,0.322,0.0,0.0,0.0,0.0,0.55,0.0,0.0,0.0
0.159,0.322,0.322,0.0,0.0,0.0,0.0,0.55,0.0,0.0,0.0788
0.159,0.322,0.322,0.0,0.0,0.0,0.0,0.55,0.0,0.0,0.0788
0.159,0.322,0.322,0.0,0.0,0.0,0.0,0.55,0.0,0.0,0.0
0.156,0.336,0.336,0.0,0.0,0.0,0.0,0.55,0.0,0.0,0.0
0.156,0.336,0.336,0.0,0.0,0.0,0.0,0.55,0.0,0.0,0.0
0.156,0.336,0.336,0.0,0.0,0.0,0.0,0.55,0.0,0.0,0.0
0.156,0.336,0.336,0.0,0.0,0.0,0.0,0.55,0.0,0.0,0.0788
0.156,0.336,0.336,0.0,0.0,0.0,0.0,0.55,0.0,0.0,0.0
0.156,0.336,0.336,0.0,0.0,0.0,0.0,0.55,0.0,0.0,0.0
0.253,0.35,0.35,0.0,0.0,0.0,0.0,0.645,0.0,0.0,0.0788
0.253,0.35,0.35,0.0,0.0,0.0,0.0,0.645,0.0,0.0,0.0
0.253,0.35,0.35,0.0,0.0,0.0,0.0,0.645,0.0,0.0,0.0
0.151,0.35,0.35,0.0,0.0,0.0,0.0,0.555,0.0,0.0,0.0
0.151,0.35,0.35,0.0,0.0,0.0,0.0,0.555,0.0,0.0,0.0
0.151,0.35,0.35,0.0,0.0,0.0,0.0,0.555,0.0,0.0,0.0
0.148,0.336,0.336,0.0,0.0,0.0,0.0,0.56,0.0,0.0,0.0788
0.148,0.336,0.336,0.0,0.0,0.0,0.0,0.56,0.0,0.0,0.0
0.148,0.336,0.336,0.0,0.0,0.0,0.0,0.56,0.0,0.0,0.0
0.148,0.336,0.336,0.0,0.0,0.0,0.0,0.56,0.335,0.0,0.0
0.148,0.336,0.336,0.0,0.0,0.0,0.0,0.56,0.436,0.0,0.0
0.148,0.336,0.336,0.0,0.4,0.0,0.0,0.56,0.514,0.0,0.0
0.0493,0.392,0.392,0.0,1.0,0.0,0.0,0.465,0.0,0.0,0.236
0.0493,0.392,0.392,0.0,1.0,0.0,0.0,0.465,0.369,0.0,0.236
0.0493,0.392,0.392,0.0,1.0,0.0,0.0,0.465,0.525,0.0,0.0
0.0493,0.392,0.392,0.0,1.0,0.0,0.0,0.465,0.0,0.0,0.0
0.0493,0.392,0.392,0.0,1.0,0.0,0.0,0.465,0.0,0.0,0.158
0.0493,0.392,0.392,0.0,1.0,0.0,0.0,0.465,0.0,0.0,0.0
0.0493,0.433,0.433,0.0,0.0,0.0,0.0,0.465,0.0,0.0,0.0788
0.0493,0.433,0.433,0.0,0.0,0.0,0.0,0.465,0.0,0.0,0.0788
0.0493,0.433,0.433,0.0,0.0,0.0,0.0,0.465,0.0,0.0,0.0
0.0493,0.433,0.433,0.0,0.0,0.0,0.0,0.465,0.0,0.0,0.0
0.0493,0.433,0.433,0.0,0.0,0.0,0.0,0.465,0.0,0.0,0.0
0.0493,0.433,0.433,0.0,0.0,0.0,0.0,0.465,0.0,0.0,0.0
0.156,0.447,0.447,0.0,0.0,0.0,0.0,0.564,0.0,0.0,0.0
0.156,0.447,0.447,0.0,0.0,0.0,0.0,0.564,0.0,0.0,0.158
0.156,0.447,0.447,0.0,0.0,0.0,0.0,0.564,0.0,0.0,0.0788
0.264,0.447,0.447,0.0,0.0,0.0,0.0,0.664,0.0,0.0,0.0
0.264,0.447,0.447,0.3,0.0,0.0,0.0,0.664,0.0,0.0,0.158
0.264,0.447,0.447,1.0,0.0,0.0,0.0,0.664,0.0,0.0,0.0
0.312,0.545,0.545,1.0,0.0,0.0,0.0,0.682,0.0,0.0,0.0
0.312,0.545,0.545,1.0,0.0,0.0,0.0,0.682,0.0,0.0,0.0
0.443,0.545,0.545,1.0,0.0,0.0,0.0,0.791,0.0,0.0,0.0
0.443,0.545,0.545,1.0,0.0,0.0,0.0,0.791,0.0,0.0,0.0788
0.443,0.545,0.545,0.9,0.0,0.0,0.0,0.791,0.0,0.0,0.0
0.443,0.545,0.545,0.0,0.0,0.0,0.0,0.791,0.0,0.0,0.0
0.581,0.741,0.741,0.0,0.0,0.0,0.0,0.847,0.0,0.0,0.0
0.581,0.741,0.741,0.0,0.0,0.0,0.0,0.847,0.0,0.0,0.0
0.581,0.741,0.741,0.0,0.0,0.0,0.0,0.847,0.0,0.0,0.0
0.581,0.741,0.741,0.0,0.0,0.0,0.0,0.847,0.0,0.0,0.0
0.581,0.741,0.741,0.0,0.0,0.0,0.0,0.847,0.0,0.0,0.0
0.581,0.741,0.741,0.0,0.0,0.0,0.0,0.847,0.0,0.0,0.0
0.727,0.881,0.881,0.0,0.0,0.0,0.0,0.861,0.0,0.0,0.0
0.727,0.881,0.881,0.0,0.0,0.0,0.0,0.861,0.0,0.0,0.0
0.727,0.881,0.881,0.0,0.0,0.0,0.0,0.861,0.397,0.0,0.0
0.727,0.881,0.881,0.0,0.0,0.0,0.0,0.861,0.553,0.0,0.0
0.727,0.881,0.881,0.0,0.9,0.0,0.0,0.861,0.408,0.0,0.0788
0.727,0.881,0.881,0.0,1.0,0.0,0.0,0.861,0.626,0.0,0.0
0.762,0.937,0.937,0.0,1.0,0.0,0.0,0.819,0.0,0.0,0.0
0.762,0.937,0.937,0.0,1.0,0.0,0.0,0.819,0.0,0.0,0.0
0.762,0.937,0.937,0.0,1.0,0.0,0.0,0.819,0.0,0.0,0.0
0.762,0.937,0.937,0.0,1.0,0.0,0.0,0.819,0.0,0.0,0.0
0.762,0.937,0.937,0.0,1.0,0.0,0.0,0.819,0.0,0.0,0.0788
0.762,0.937,0.937,0.0,1.0,0.0,0.0,0.819,0.486,0.0,0.0
0.653,0.993,0.993,0.0,1.0,0.0,0.0,0.777,0.296,0.0,0.158
0.653,0.993,0.993,0.0,0.8,0.0,0.0,0.777,0.52,0.0,0.0788
0.653,0.993,0.993,0.0,0.0,0.0,0.0,0.777,0.609,0.0,0.0
0.653,0.993,0.993,0.0,0.0,0.0,0.0,0.777,0.525,0.0,0.0
